experiment,sampler,setting,seed,h,gamma,n_samples,burn,post_burn_samples,dimension,acceptance_rate,min_ess,mean_error,cov_error,grad_evals,logprob_evals,work_units,ess_per_work,rho,lipschitz
klmc_friction,KLMC,gamma=0.25,900,0.06828092771050964,0.25,16000,3000,13000,10,,1326.0739395754606,50120203.635438666,3.311957681227633e+20,16000,0,16000,0.08287962122346629,0.8,8.787226830657858
klmc_friction,KLMC,gamma=0.5,900,0.06828092771050964,0.5,16000,3000,13000,10,,221.85540742122663,0.07985906564530193,0.7721505429908113,16000,0,16000,0.013865962963826665,0.8,8.787226830657858
klmc_friction,KLMC,gamma=1.0,900,0.06828092771050964,1.0,16000,3000,13000,10,,146.30144297297136,0.11675969554860138,0.4078537576863484,16000,0,16000,0.00914384018581071,0.8,8.787226830657858
klmc_friction,KLMC,gamma=2.0,900,0.06828092771050964,2.0,16000,3000,13000,10,,67.86733146302083,0.15959702518846666,0.531503018256161,16000,0,16000,0.004241708216438802,0.8,8.787226830657858
klmc_friction,KLMC,gamma=4.0,900,0.06828092771050964,4.0,16000,3000,13000,10,,33.08290131737673,0.23227004878572854,1.01064438408274,16000,0,16000,0.002067681332336046,0.8,8.787226830657858
klmc_friction,KLMC,gamma=8.0,900,0.06828092771050964,8.0,16000,3000,13000,10,,22.857385634556433,0.3688930085609764,1.7033288148176935,16000,0,16000,0.001428586602159777,0.8,8.787226830657858
