experiment,sampler,setting,seed,h,gamma,n_samples,burn,post_burn_samples,dimension,acceptance_rate,min_ess,mean_error,cov_error,grad_evals,logprob_evals,work_units,ess_per_work,rho,lipschitz,step_scale
dimension_scaling,ULA,d=2,102,0.08999999999999997,,12000,2000,10000,2,,196.6253045396447,0.0671320892066627,0.1567571594609245,12000,0,12000,0.016385442044970392,0.8,5.000000000000002,0.45
dimension_scaling,MALA,d=2,102,0.14999999999999994,,12000,2000,10000,2,0.8573333333333333,362.19187939294386,0.04956634644042349,0.010992222269595422,12001,12001,24002,0.015090070802139149,0.8,5.000000000000002,0.75
dimension_scaling,KLMC,d=2,102,0.11999999999999995,2.0,12000,2000,10000,2,,108.12388193226856,0.021244460876262514,0.05247136399120757,12000,0,12000,0.009010323494355713,0.8,5.000000000000002,0.6
dimension_scaling,ULA,d=5,105,0.05496091852551894,,12000,2000,10000,5,,39.2524672784284,0.2934339400072479,0.562634786300217,12000,0,12000,0.0032710389398690333,0.8,8.1876360889249,0.45
dimension_scaling,MALA,d=5,105,0.0916015308758649,,12000,2000,10000,5,0.809,57.112213575088276,0.3166516035766472,0.4826491938553296,12001,12001,24002,0.0023794772758556904,0.8,8.1876360889249,0.75
dimension_scaling,KLMC,d=5,105,0.07328122470069191,2.0,12000,2000,10000,5,,55.005783565776916,0.18124569083455586,0.44325410526297676,12000,0,12000,0.004583815297148077,0.8,8.1876360889249,0.6
dimension_scaling,ULA,d=10,110,0.05121069578288224,,12000,2000,10000,10,,86.02783568817418,0.301079079026721,1.3976865084427978,12000,0,12000,0.007168986307347848,0.8,8.787226830657858,0.45
dimension_scaling,MALA,d=10,110,0.08535115963813707,,12000,2000,10000,10,0.7150833333333333,102.29417593924789,0.12731413616834242,0.6319563677959678,12001,12001,24002,0.004261902172287638,0.8,8.787226830657858,0.75
dimension_scaling,KLMC,d=10,110,0.06828092771050964,2.0,12000,2000,10000,10,,40.08719239607308,0.5528381286626567,0.4669334916333769,12000,0,12000,0.0033405993663394233,0.8,8.787226830657858,0.6
dimension_scaling,ULA,d=20,120,0.05030246063389173,,12000,2000,10000,20,,66.43465718403597,0.8990836724760026,0.9662607328967295,12000,0,12000,0.005536221432002998,0.8,8.94588444241649,0.45
dimension_scaling,MALA,d=20,120,0.08383743438981955,,12000,2000,10000,20,0.5805833333333333,41.4820549328738,0.830573796765306,2.1809205991095855,12001,12001,24002,0.0017282749326253562,0.8,8.94588444241649,0.75
dimension_scaling,KLMC,d=20,120,0.06706994751185565,2.0,12000,2000,10000,20,,29.655375284358147,0.42910315402246135,1.9687178124304117,12000,0,12000,0.002471281273696512,0.8,8.94588444241649,0.6
dimension_scaling,ULA,d=50,150,0.050048554034214564,,12000,2000,10000,50,,49.80467207324609,1.5615727741938847,3.9829963839995552,12000,0,12000,0.004150389339437174,0.8,8.991268752587091,0.45
dimension_scaling,MALA,d=50,150,0.08341425672369093,,12000,2000,10000,50,0.3854166666666667,35.83735295216754,1.574250213110264,5.001035996789956,12001,12001,24002,0.0014930986147890818,0.8,8.991268752587091,0.75
dimension_scaling,KLMC,d=50,150,0.06673140537895275,2.0,12000,2000,10000,50,,21.75556430313263,2.46594954369976,5.674258175606598,12000,0,12000,0.0018129636919277192,0.8,8.991268752587091,0.6
